,turbine,blade1actual,blade2actual,blade3actual,power,rotor speed,generating outboard bearing temp,hub temp,wind speed
2,WTG-C,8.140526772,8.14496994,8.172891617,2105.474609,13.36401939,44.86168671,34.87647629,12.04747677
146,WTG-C,7.137085915,7.294550419,6.979620457,1969.153564,13.16394901,39.61721039,30.95411873,7.910869122
290,WTG-C,2.085572958,2.084746122,2.14041853,946.9239502,10.08152199,34.17677689,24.80576134,5.951812267
434,WTG-C,5.407485962,5.406704903,5.394080639,573.3413086,9.828765869,40.26212311,27.62529564,5.634632111
578,WTG-C,7.405256748,7.402152538,7.553183556,1851.309937,13.49017811,37.35070801,29.03242683,10.72806072
722,WTG-C,5.112122536,5.116113186,5.176864624,2257.20166,13.27480412,39.60183334,28.78104019,9.727475166
866,WTG-C,8.794575691,8.796425819,9.135374069,1136.86438,12.74475574,39.47823334,31.00379944,10.1549511
1010,WTG-C,8.736888885,8.4344244,9.143953323,1270.779297,12.70769596,38.62973404,33.08296204,10.96663284
1154,WTG-C,4.260097504,4.260047436,4.369176865,1989.218262,13.49733162,40.87432861,33.44912338,8.729179382
1298,WTG-C,-0.789079726,-0.855914712,-0.845994174,1101.485962,10.32247639,40.73937988,32.78401184,6.256986141
1442,WTG-C,1.759909749,1.761565566,1.756560206,2071.791748,13.3312273,39.98905945,30.93846703,9.009055138
1586,WTG-C,85.00217438,84.99872589,85.00009155,-15.2648716,0.040741168,33.57152557,24.02153397,2.401957035
1730,WTG-C,84.37664032,85.01543427,77.84642029,-12.42044449,0,31.02973175,27.81007195,0
1874,WTG-C,3.420083284,3.421212196,3.422308922,-23.18935585,7.882035255,32.88430405,24.22347832,2.888543129
2018,WTG-C,85.0052948,85.00603485,85.00855255,-10.75949287,0,35.00566483,28.80321884,0.377042294
2162,WTG-C,-0.833751082,-0.860112906,-0.869885147,1403.398071,11.22533417,38.8875885,27.11728096,6.679056168
2306,WTG-C,0.953635097,0.948883474,0.871278644,2173.368652,13.33808899,39.93729782,28.7504406,4.441050529
2450,WTG-C,-0.830482423,-0.838627279,-0.798989832,1251.875244,10.7999258,38.40950394,24.81364822,5.738848686
2594,WTG-C,0.693554699,0.696457744,0.834369659,2311.421143,13.33137989,40.25476074,30.91025352,7.288843155
2738,WTG-C,7.460940361,7.465635777,7.469269276,2477.445557,13.43267632,42.6135788,33.78644943,9.823072433
2882,WTG-C,9.830203056,9.84240818,10.01067162,2425.99707,13.43045998,42.05609894,33.74207687,10.29951572
