,turbine,date & time,op time,blade1actual,blade1set,blade2actual,blade2set,blade3actual,blade3set,down time,expected power,gearbearing int temp,power,production,gearbox bearing temp,rotor bearing 2 temp,rotor speed,state and fault,generating outboard bearing temp,hub temp,shaft bearing temp,tip speed,tip speed ratio,tower accel,wind dir,wind speed,yaw dev
2,WTG-C,20-Sep-21 00:10:00,3062956,8.140526772,8.150424957,8.14496994,8.148179054,8.172891617,8.18401432,1656284,2804.461182,63.60419083,2105.474609,935836,73.18234253,-3.700000048,13.36401939,OnLine,44.86168671,34.87647629,52.57424164,88.86677551,7.406220913,79.97311401,152,12.04747677,3.924953461
146,WTG-C,21-Sep-21 00:10:00,3149564,7.137085915,7.102975845,7.294550419,7.267261028,6.979620457,6.853707314,1656284,1614.024658,63.50044632,1969.153564,980005,72.80000305,-3.700000048,13.16394901,OnLine,39.61721039,30.95411873,52.71480942,87.53636932,11.21689415,157.6206818,-1,7.910869122,302.3231506
290,WTG-C,22-Sep-21 00:10:00,3236189,2.085572958,2.110214472,2.084746122,2.110214472,2.14041853,2.167933702,1656284,705.2018433,60.00009537,946.9239502,1020146,67.7878418,-3.700000048,10.08152199,OnLine,34.17677689,24.80576134,45.51773453,67.03913879,11.3917141,51.22829056,13,5.951812267,2.724240541
434,WTG-C,23-Sep-21 00:10:00,3284538,5.407485962,5.396621704,5.406704903,5.396621704,5.394080639,5.394526482,1656284,599.0053101,59.12955856,573.3413086,1024558,66.39033508,-3.700000048,9.828765869,OnLine,40.26212311,27.62529564,40.8267746,65.35838318,11.59137917,19.85035706,136,5.634632111,0.151434049
578,WTG-C,24-Sep-21 00:10:00,3370151,7.405256748,7.377964973,7.402152538,7.380583286,7.553183556,7.530351639,1656284,2715.515869,63.40000153,1851.309937,1056660,72.19999695,-3.700000048,13.49017811,OnLine,37.35070801,29.03242683,49.92480469,89.70569611,8.351405144,65.22653198,163,10.72806072,3.809720516
722,WTG-C,25-Sep-21 00:10:00,3455771,5.112122536,5.110347271,5.116113186,5.110347271,5.176864624,5.192922115,1656284,2469.532959,63.40000153,2257.20166,1087763,73,-3.700000048,13.27480412,OnLine,39.60183334,28.78104019,49.36303711,88.27352142,9.045423508,62.26268768,38,9.727475166,1.504318237
866,WTG-C,26-Sep-21 00:10:00,3541405,8.794575691,8.81744194,8.796425819,8.81744194,9.135374069,9.038043976,1656284,2565.139893,63.38137436,1136.86438,1112853,71.94395447,-3.700000048,12.74475574,OnLine,39.47823334,31.00379944,49.3163414,84.74886322,8.382954597,110.4366074,171,10.1549511,2.511782646
1010,WTG-C,27-Sep-21 00:10:00,3628025,8.736888885,8.806533813,8.4344244,8.463149071,9.143953323,9.192781448,1656284,2752.020752,62.90466309,1270.779297,1148981,71.04051208,-3.700000048,12.70769596,OnLine,38.62973404,33.08296204,53.13476181,84.50242615,7.548778057,111.8601379,180,10.96663284,2.65335083
1154,WTG-C,28-Sep-21 00:10:00,3714647,4.260097504,4.254970074,4.260047436,4.254970074,4.369176865,4.328604698,1656284,2045.459351,63.83105087,1989.218262,1186129,73.19999695,-3.700000048,13.49733162,OnLine,40.87432861,33.44912338,52.8861351,89.75327301,10.25561237,80.00844574,179,8.729179382,2.705607414
1298,WTG-C,29-Sep-21 00:10:00,3798239,-0.789079726,-0.756457329,-0.855914712,-0.756457329,-0.845994174,-0.821718752,1656284,822.8132935,58.58574295,1101.485962,1212214,66.41408539,-3.700000048,10.32247639,OnLine,40.73937988,32.78401184,51.2616806,68.64141083,11.3124752,123.8418503,174,6.256986141,3.106773376
1442,WTG-C,30-Sep-21 00:10:00,3884859,1.759909749,1.825882196,1.761565566,1.825882196,1.756560206,1.752716184,1656284,2168.832275,63.24044418,2071.791748,1248354,73.39941406,-3.700000048,13.3312273,OnLine,39.98905945,30.93846703,52.02460861,88.64871979,9.865968704,78.68789673,130,9.009055138,4.764681816
1586,WTG-C,01-Oct-21 00:10:00,3958357,85.00217438,84.95639801,84.99872589,84.95639801,85.00009155,84.26499176,1656284,21.61761284,54.80281448,-15.2648716,1270171,57.18451309,-3.700000048,0.040741168,External Curtailment,33.57152557,24.02153397,40.080513,0.27091673,0.110429615,24.82787132,26,2.401957035,6.718162537
1730,WTG-C,02-Oct-21 00:10:00,4002382,84.37664032,83.54894257,85.01543427,83.54894257,77.84642029,77.50439453,1656594,0,44.03821182,-12.42044449,1273261,42.31890106,-3.700000048,0,Weather Outage,31.02973175,27.81007195,31.41049194,0,Calc Failed,3.817376614,285,0,30.7539978
1874,WTG-C,03-Oct-21 00:10:00,4060783,3.420083284,3.434332609,3.421212196,3.434332609,3.422308922,3.559146166,1656594,25.99688721,56.17523575,-23.18935585,1277637,57.90341568,-3.700000048,7.882035255,RunUp,32.88430405,24.22347832,40.06302643,52.41320801,18.10707474,83.60054016,30,2.888543129,6.619843006
2018,WTG-C,04-Oct-21 00:10:00,4124212,85.0052948,85,85.00603485,85,85.00855255,85,1656594,3.393380642,51.16959,-10.75949287,1286222,50.23922348,-3.700000048,0,Weather Outage,35.00566483,28.80321884,38.0239563,0,0,2369.427979,133,0.377042294,111.4624786
2162,WTG-C,05-Oct-21 00:10:00,4171185,-0.833751082,-0.823131561,-0.860112906,-0.823131561,-0.869885147,-0.822976351,1656594,1001.598938,59.04452896,1403.398071,1292003,68.15811157,-3.700000048,11.22533417,OnLine,38.8875885,27.11728096,45.28968811,74.64514923,11.22291756,54.40333557,138,6.679056168,0.466182888
2306,WTG-C,06-Oct-21 00:10:00,4206752,0.953635097,0.880331755,0.948883474,0.880331755,0.871278644,0.875044107,1656814,274.2383118,60.47475052,2173.368652,1296184,70.50054169,-3.700000048,13.33808899,OnLine,39.93729782,28.7504406,42.98780441,88.6943512,20.02393913,85.421875,88,4.441050529,4
