,Turbine,Date & Time,WTG-B (2.82-FDR 2A) - (GRID) OPERATING TIME,WTG-B (2.82-FDR 2A) - BLADE 1 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 1 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - SET VALUE,WTG-B (2.82-FDR 2A) - DOWN TIME,WTG-B (2.82-FDR 2A) - EXPECTED POWER,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE INTERMEDIATE SHAFT GENERATOR SIDE (ROTOR SIDE),WTG-B (2.82-FDR 2A) - POWER,WTG-B (2.82-FDR 2A) - PRODUCTION,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR BEARING 2 TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR SPEED (PLC),WTG-B (2.82-FDR 2A) - STATE AND FAULT,WTG-B (2.82-FDR 2A) - GENERATOR OUTBOARD BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - HUB TEMPERATURE,WTG-B (2.82-FDR 2A) - SHAFT BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - TIP SPEED,WTG-B (2.82-FDR 2A) - TIP SPEED RATIO,WTG-B (2.82-FDR 2A) - TOWER ACCELERATION,WTG-B (2.82-FDR 2A) - WIND DIRECTION,WTG-B (2.82-FDR 2A) - WIND SPEED,WTG-B (2.82-FDR 2A) - YAW DEVIATION
2,WTG-B,20-Sep-21 00:10:00,3756013,9.18074894,9.190662384,8.978744507,8.986676216,8.330135345,8.399967194,1601512,2707.824219,-3278.5,1968.364014,1303556,67.6004715,-3.700000048,13.39887714,OnLine,37.62680054,35.0383873,52.54685974,89.09857178,8.322410583,145.3751373,158,10.68820858,11.33333397
146,WTG-B,21-Sep-21 00:10:00,3815913,9.77741909,9.827717781,9.587826729,9.638750076,9.038211823,9.083195686,1601701,2819.644775,-3278.5,1998.0177,1339631,67.19999695,-3.700000048,13.45154572,OnLine,33.70000076,30.92339706,49.60477448,89.44880676,7.105288029,198.0376434,3,12.64480495,5.397011757
290,WTG-B,22-Sep-21 00:10:00,3902533,4.176640511,4.205768585,3.989899874,4.01680088,3.434930086,3.461246729,1601701,684.8588257,-3278.5,733.494751,1379782,63.39188004,-3.700000048,9.964947701,OnLine,19.49999809,26.22209358,45.76101685,66.26395416,11.25489426,87.88601685,24,5.875205994,3.979734421
434,WTG-B,23-Sep-21 00:10:00,3948568,6.846935749,6.849756718,6.657370567,6.660788536,6.099256992,6.105234623,1601701,231.5327148,-3278.5,466.138855,1383273,61.90451813,-3.700000048,9.34376812,OnLine,23.51378059,29.86108971,39.44511032,62.13329315,15.11565876,64.06163025,137,4.226542473,0.092177898
578,WTG-B,24-Sep-21 00:10:00,4035188,10.62570763,10.57258797,10.43822193,10.38361931,9.880784988,9.828064919,1601701,2820,-3278.5,2138.40625,1417380,67.19999695,-3.700000048,13.44389534,OnLine,32.35746384,30.00165558,49.99862289,89.39792633,6.258676529,158.0816193,176,14.32745934,1.684896231
722,WTG-B,25-Sep-21 00:10:00,4120796,6.239273071,6.22507906,6.050971031,6.036110878,5.49452734,5.480556965,1601701,2702.290283,-3278.5,1947.587402,1452503,63.69999695,-3.700000048,13.47088718,OnLine,32.98976135,29.93453979,49.48612595,89.57741547,8.391677856,150.218338,41,10.6632576,1.982133031
866,WTG-B,26-Sep-21 00:10:00,4207419,11.56391716,11.31011677,13.80376625,13.56495571,11.49650764,11.94916725,1601701,2820,-3278.5,1526.494263,1478590,63.80807495,-3.700000048,13.45770359,OnLine,33.9272728,31.96744537,47.72725677,89.48975372,5.816124916,181.1887512,178,15.36926651,6.734770298
1010,WTG-B,27-Sep-21 00:10:00,4293023,11.87002468,12.24338436,11.75359821,11.47320747,13.18421555,13.12316418,1601701,2819.916016,-3278.5,1348.723999,1520732,63.89074326,-3.700000048,13.13182068,OnLine,34.14746094,33.91789627,50.94447327,87.32272339,6.455496311,131.9664307,190,13.55350304,3.786892414
1154,WTG-B,28-Sep-21 00:10:00,4379640,5.667729855,5.917534828,5.274227619,5.295577049,5.490524769,5.492443562,1601701,2770.208008,-3278.5,2582.75415,1564898,66.88105011,-3.700000048,13.41280174,OnLine,38.01366043,34.74953461,53.7561264,89.19116974,7.983345509,158.1958466,191,11.18330956,3.300605536
1298,WTG-B,29-Sep-21 00:10:00,4465058,-0.529268682,-0.435797632,-0.719082057,-0.624765813,-1.274858356,-1.180320024,1601701,761.5784912,-3278.5,595.6073608,1591034,62.86799622,-3.700000048,8.515365601,OnLine,33.08978653,33.88349152,50.78021622,56.62466431,9.213163376,20.96169472,165,6.080831528,2.307371855
